interview__key,ctry,region,dist,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"62-34-36-23","Zambia","Western province","Sesheke","Silolo","Katima 1","100011812","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"54-21-12-64","Zambia","Western province","Sesheke","Makusi","Katima 1","100011814","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"56-96-68-33","Zambia","Western province","Sesheke","Makusi","Katima 2","100011915","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"77-02-55-05","Zambia","Western province","Sesheke","Mwanota","Katima 1","100011805","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"14-81-15-88","Zambia","Western province","Sesheke","Makusi","Katima 2","100011907","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"96-74-08-90","Zambia","Western province","Sesheke","Mwanota","Katima 1","100011811","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"96-06-73-25","Zambia","Western province","Sesheke","Silolo","Katima 1","100011808","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-47-72-19","Zambia","Western province","Sesheke","Mwanota","Katima 1","100011810","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-26-40-66","Zambia","Western province","Sesheke","Silolo","Katima 1","100011815","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"14-99-63-02","Zambia","Western province","Sesheke","Makusi","Katima 1","100011813","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"19-21-27-06","Zambia","Western province","Sesheke","Makusi","Katima 2","100011911","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"37-56-42-12","Zambia","Western province","Sesheke","Makusi","Katima 2","100011904","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"16-65-20-98","Zambia","Western province","Sesheke","Mwanota","Katima 1","100011806","Yes",,,"",,"No",1,"Head of the household",,"Yes"
