interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"62-34-36-23","No",,,,,,,,,,,"",,5,,"No"
"54-21-12-64",,,,,,,,,,,,"",,,,
"56-96-68-33",,,,,,,,,,,,"",,,,
"77-02-55-05",,,,,,,,,,,,"",,,,
"14-81-15-88","No",,,,,,,,,,,"",,15,,"No"
"96-74-08-90","No",,,,,,,,,,,"",,1,,"No"
"96-06-73-25","No",,,,,,,,,,,"",,13,,"No"
"74-47-72-19",,,,,,,,,,,,"",,,,
"74-26-40-66","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",20,0,"No"
"14-99-63-02","No",,,,,,,,,,,"",,15,,"No"
"19-21-27-06","No",,,,,,,,,,,"",,15,,"No"
"37-56-42-12",,,,,,,,,,,,"",,,,
"16-65-20-98",,,,,,,,,,,,"",,,,
"09-74-03-14",,,,,,,,,,,,"",,,,
"39-03-54-61","No",,,,,,,,,,,"",,.5,,"No"
"86-35-86-55","No",,,,,,,,,,,"",,15,,"No"
"88-11-61-94","No",,,,,,,,,,,"",,14,,"No"
"93-61-35-58","No",,,,,,,,,,,"",,.5,,"No"
"87-48-20-01","No",,,,,,,,,,,"",,7,,"No"
"66-77-51-72","No",,,,,,,,,,,"",,17,,"No"
"31-16-66-31","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",25,7500,"No"
"88-03-82-39",,,,,,,,,,,,"",,,,
"59-90-45-51","No",,,,,,,,,,,"",,7,,"No"
"68-61-83-10","No",,,,,,,,,,,"",,20,,"No"
"96-11-54-44","No",,,,,,,,,,,"",,20,,"No"
"70-22-33-16","No",,,,,,,,,,,"",,15,,"No"
"12-54-99-38","No",,,,,,,,,,,"",,15,,"No"
"39-44-22-57",,,,,,,,,,,,"",,,,
"11-92-45-50","No",,,,,,,,,,,"",,1,,"No"
"73-14-88-64","No",,,,,,,,,,,"",,17,,"No"
"59-60-22-11",,,,,,,,,,,,"",,,,
"63-18-15-01","Yes","Yes","No","No","No","No","No","No","No",,"Other➡️ Please specify","sold the ducks within the village","Market in this village",7,300,"No"
"40-24-89-40",,,,,,,,,,,,"",,,,
"26-37-34-30","No",,,,,,,,,,,"",,5,,"No"
"57-72-53-25","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",20,80,"No"
"15-31-68-47","No",,,,,,,,,,,"",,2,,"No"
"54-23-26-42","No",,,,,,,,,,,"",,12,,"No"
"06-33-74-17",,,,,,,,,,,,"",,,,
"09-17-76-18",,,,,,,,,,,,"",,,,
"91-72-91-72","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",30,400,"No"
"07-58-36-50","No",,,,,,,,,,,"",,15,,"No"
"27-63-39-98",,,,,,,,,,,,"",,,,
