interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"62-34-36-23",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",29,4
"62-34-36-23",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",6,4
"62-34-36-23",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 50s",3,1
"54-21-12-64",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 60s",20,4
"54-21-12-64",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","In their 60s",10,4
"54-21-12-64",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Totela","","In their 30s",10,2
"56-96-68-33",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",4,4
"56-96-68-33",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Totela","","In their 50s",3,2
"56-96-68-33",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Totela","","In their 40s",6,3
"77-02-55-05",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","Lozi","In their 40s",3,3
"77-02-55-05",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","Lozi","In their 50s",1,1
"77-02-55-05",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",5,1
"14-81-15-88",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","&gt;70",20,0
"14-81-15-88",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 50s",15,0
"14-81-15-88",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 40s",10,1
"96-74-08-90",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 20s",29,0
"96-74-08-90",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 20s",27,4
"96-06-73-25",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 30s",5,2
"96-06-73-25",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",4,3
"96-06-73-25",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 50s",7,3
"74-47-72-19",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 40s",7,2
"74-47-72-19",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 60s",21,3
"74-47-72-19",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",8,4
"74-26-40-66",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",0,0
"74-26-40-66",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",5,0
"74-26-40-66",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",20,20
"14-99-63-02",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 20s",10,5
"14-99-63-02",2,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 40s",10,5
"14-99-63-02",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mbunda","","In their 40s",16,6
"19-21-27-06",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",0,0
"19-21-27-06",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 40s",0,0
"19-21-27-06",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",0,0
"37-56-42-12",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","In their 60s",0,0
"37-56-42-12",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 50s",0,0
"37-56-42-12",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","Lozi","In their 50s",2,3
"16-65-20-98",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",3,2
"16-65-20-98",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",1,1
"16-65-20-98",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Other, Specify","Lozi","In their 30s",4,2
"09-74-03-14",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",1,0
"09-74-03-14",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",3,0
"09-74-03-14",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",0,0
"39-03-54-61",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Other, Specify","Lozi","In their 20s",29,7
"39-03-54-61",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Mashi","","In their 20s",14,3
"39-03-54-61",3,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Women","Other, Specify","Lozi","In their 40s",21,5
"86-35-86-55",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",3,0
"86-35-86-55",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",4,0
"86-35-86-55",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",7,5
"88-11-61-94",1,"No","No","No","Yes","No","Yes","No","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",4,3
"88-11-61-94",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 30s",4,2
"88-11-61-94",3,"No","Yes","No","No","Yes","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 50s",5,1
"93-61-35-58",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","Lozi","In their 40s",5,2
"93-61-35-58",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",5,1
"93-61-35-58",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",8,3
"87-48-20-01",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",20,0
"87-48-20-01",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",0,0
"87-48-20-01",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",1,1
"66-77-51-72",1,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",1,1
"66-77-51-72",2,"No","Yes","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",2,2
"66-77-51-72",3,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Women","Other, Specify","lozi","In their 50s",4,2
"31-16-66-31",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Totela","","In their 50s",2,0
"31-16-66-31",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",2,0
"31-16-66-31",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",1,0
"88-03-82-39",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 50s",5,5
"88-03-82-39",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",8,5
"88-03-82-39",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",2,2
"59-90-45-51",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",9,2
"59-90-45-51",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","lozi","In their 40s",8,3
"59-90-45-51",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 50s",6,4
"68-61-83-10",1,"No","No","Yes","No","No","No","Yes","No","No","No","No","No",,"Men","Mafwe","","In their 60s",29,2
"68-61-83-10",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Mafwe","","In their 50s",29,15
"68-61-83-10",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Mafwe","","In their 40s",29,10
"96-11-54-44",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",20,27
"96-11-54-44",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",25,27
"96-11-54-44",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","&gt;70",20,27
"70-22-33-16",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Makoma","","In their 50s",25,10
"70-22-33-16",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 30s",28,5
"70-22-33-16",4,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Makoma","","In their 30s",28,4
"12-54-99-38",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",20,4
"12-54-99-38",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Makoma","","In their 40s",20,6
"12-54-99-38",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Makoma","","&gt;70",28,10
"39-44-22-57",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",6,2
"39-44-22-57",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 40s",4,1
"39-44-22-57",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Makoma","","In their 60s",28,4
"11-92-45-50",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",29,5
"11-92-45-50",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 60s",29,5
"11-92-45-50",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 50s",29,15
"73-14-88-64",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 60s",25,30
"73-14-88-64",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 50s",25,30
"73-14-88-64",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 50s",22,30
"59-60-22-11",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 60s",25,30
"59-60-22-11",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","&gt;70",20,30
"59-60-22-11",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 40s",20,30
"63-18-15-01",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Other, Specify","lozi","In their 50s",7,1
"63-18-15-01",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 60s",8,0
"63-18-15-01",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","Lozi","In their 40s",0,0
"40-24-89-40",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","In their 60s",28,4
"40-24-89-40",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 60s",20,5
"40-24-89-40",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Totela","","In their 50s",18,2
"26-37-34-30",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Subia","","&gt;70",3,3
"26-37-34-30",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Subia","","&gt;70",25,20
"26-37-34-30",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Subia","","In their 60s",5,5
"57-72-53-25",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","&gt;70",25,27
"57-72-53-25",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",25,28
"57-72-53-25",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",24,28
"15-31-68-47",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 40s",20,20
"15-31-68-47",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 50s",25,20
"15-31-68-47",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 30s",3,3
"54-23-26-42",1,"No","Yes","No","No","Yes","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 40s",2,2
"54-23-26-42",2,"No","Yes","No","No","Yes","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 60s",2,2
"54-23-26-42",3,"No","Yes","No","No","Yes","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",2,2
"06-33-74-17",1,"No","Yes","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 40s",8,0
"06-33-74-17",2,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 40s",5,1
"06-33-74-17",3,"No","Yes","No","No","No","No","No","No","Yes","No","No","No",,"Women","Other, Specify","lozi","&gt;70",26,0
"09-17-76-18",1,"No","No","Yes","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",6,7
"09-17-76-18",2,"No","Yes","No","No","Yes","No","No","No","Yes","No","No","No",,"Men","Other, Specify","lozi","In their 40s",4,3
"09-17-76-18",3,"No","Yes","No","No","Yes","No","No","No","Yes","No","No","No",,"Men","Other, Specify","lozi","In their 50s",3,4
"91-72-91-72",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",2,1
"91-72-91-72",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","In their 30s",25,27
"91-72-91-72",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Bemba","In their 40s",24,27
"07-58-36-50",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",1,2
"07-58-36-50",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Other, Specify","lozi","In their 40s",2,0
"07-58-36-50",3,"No","No","No","No","No","Yes","Yes","No","No","No","No","No",,"Women","Other, Specify","lozi","In their 40s",5,0
"27-63-39-98",1,"No","Yes","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 40s",0,0
"27-63-39-98",2,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 40s",12,10
"27-63-39-98",3,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 30s",5,6
"31-14-07-01",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","&gt;70",20,5
"31-14-07-01",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 50s",10,6
"31-14-07-01",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","&gt;70",15,10
"96-79-76-17",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","Luvale","In their 40s",4,3
"96-79-76-17",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",2,3
"96-79-76-17",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",5,3
"23-90-90-29",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","In their 60s",5,5
"23-90-90-29",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Totela","","In their 50s",5,5
"23-90-90-29",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Totela","","In their 20s",20,20
"99-47-47-96",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","&gt;70",7,1
"99-47-47-96",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",7,2
"99-47-47-96",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 50s",7,7
"48-69-67-88",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",10,0
"48-69-67-88",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Totela","","In their 60s",12,0
"48-69-67-88",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Subia","","In their 50s",25,0
"93-76-93-98",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Other, Specify","Lozi","In their 20s",29,6
"02-49-04-36",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",3,0
"02-49-04-36",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",1,0
"02-49-04-36",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",1,2
"97-96-55-67",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Totela","","In their 50s",28,4
"97-96-55-67",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",28,6
"97-96-55-67",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","In their 30s",29,8
"55-00-90-34",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 50s",3,1
"55-00-90-34",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 30s",6,2
"74-92-93-10",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Shanjo","","In their 60s",15,10
"74-92-93-10",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 50s",20,15
"74-92-93-10",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Shanjo","","&gt;70",15,5
"62-57-54-10",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",15,5
"62-57-54-10",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Totela","","&gt;70",25,5
"62-57-54-10",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Totela","","&gt;70",28,10
"81-64-58-33",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Totela","","In their 40s",4,2
"81-64-58-33",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Totela","","In their 30s",8,3
"81-64-58-33",4,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Totela","","In their 30s",6,2
"51-16-15-92",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","&gt;70",4,2
"51-16-15-92",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Lozi","&gt;70",3,2
"51-16-15-92",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Lozi","&gt;70",4,3
"63-16-06-54",1,"Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 30s",1,1
"63-16-06-54",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Shanjo","","In their 40s",5,2
"63-16-06-54",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 50s",1,1
"32-07-75-14",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Totela","","In their 60s",1,1
"32-07-75-14",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 50s",3,1
"32-07-75-14",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Subia","","In their 30s",3,1
