interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"62-34-36-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-21-12-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-96-68-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"77-02-55-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-81-15-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-74-08-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-06-73-25","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,200,,,,,,,,,,
"74-47-72-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-26-40-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-99-63-02","Yes","Yes",,"No","No","No","No","No","No","No","No","No","Yes","No","No","No",,40,"No","No","Yes","No","No","No","No","No","No",
"19-21-27-06","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-56-42-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-65-20-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-74-03-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-03-54-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-35-86-55","Yes","Yes",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,500,,,,,,,,,,
"88-11-61-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-61-35-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-48-20-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-77-51-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-16-66-31","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,50,,,,,,,,,,
"88-03-82-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-90-45-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-61-83-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-11-54-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-22-33-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-54-99-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-44-22-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-92-45-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-14-88-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-60-22-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-18-15-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-24-89-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-37-34-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-72-53-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-31-68-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-23-26-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-33-74-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-17-76-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"91-72-91-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-58-36-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-63-39-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-14-07-01","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,10,,,,,,,,,,
"96-79-76-17","Yes","Yes",,"No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No",,100,,,,,,,,,,
"23-90-90-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-47-47-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-69-67-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-76-93-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-49-04-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-96-55-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55-00-90-34","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No",,200,"No","Yes","No","No","No","No","No","No","No",
"74-92-93-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-57-54-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-64-58-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-16-15-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-16-06-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-07-75-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-46-49-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-47-15-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-82-45-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-03-17-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-02-08-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-24-65-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-94-59-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-18-60-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-57-44-05","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,300,,,,,,,,,,
"53-63-07-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-75-50-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-25-92-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-92-48-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-85-54-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-71-60-55","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-17-01-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-68-71-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-33-53-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-16-52-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-32-71-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-80-55-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-68-82-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-89-66-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-30-77-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-26-90-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-59-81-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-01-20-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-70-14-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-75-47-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-08-93-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-42-48-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-20-15-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-03-97-85","Yes","No","501-1000 m","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",,100,,,,,,,,,,
"85-88-72-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-34-38-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-00-22-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
