interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"62-34-36-23","Other➡️ Please specify","Lima",4,4,10,10,.75,0,0,"Communally owned","Communally owned","Communally owned","Communally owned","Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight increase","Slight decrease","No",,,"",1,"No","enough for family"
"54-21-12-64","Other➡️ Please specify","Lima (1 Lima= 0.25 hectares)",7,0,0,0,.5,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",7,"Yes","No","No","No",,0,"Slight decrease","Slight decrease","No",,,"",1,"No","The one I have is enough"
"56-96-68-33","Hectares","",0,0,0,0,0,0,.13,,,,,,,"Communally owned","Yes","Within family","","LC Court","","No","Very likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","For the family members"
"77-02-55-05","Hectares","",18,6,0,0,1.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"Yes",1,"Yes","No","No","No",,3,"Slight decrease","Slight decrease","No",,,"",1,"Yes","For farming purposes"
"14-81-15-88","Other➡️ Please specify","Lima is equal to 0.25ha.",10,2,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",2,"Yes","No","No","No",,0,"The same","Slight decrease","No",,,"",1,"No","She is very old to acquire more pieces of land"
"96-74-08-90","Other➡️ Please specify","Lima",8,2,8,15,.75,0,0,"Communally owned","Communally owned","Communally owned","Communally owned","Communally owned",,,"No",,"",,"",,"Very likely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","it's enough for family"
"96-06-73-25","Hectares","",8,1,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No",,"No",,,,,,,9,"Slight decrease","Slight decrease","No",,,"",2,"No","The current one is enough for all crops"
"74-47-72-19","Hectares","",7,6,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","Satisfied"
"74-26-40-66","Other➡️ Please specify","lima.1 Lima=0.25",8,0,0,20,.25,0,.25,"Private owned with no land title",,,"Private owned with no land title","Private owned with no land title",,"Private owned with no land title","No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,6,"Slight increase","Slight increase","No",,,"",2,"No","the respondant is content with the land they land they have."
"14-99-63-02","Hectares","",3.05,1.62,1.62,0,.27,0,0,"Private owned with no land title","Private owned with no land title","Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight increase","Slight increase","No",,,"",2,"No","non"
