interview__key,r_livestock__id,lv01,lv02,lv03,lv04,lv_inkind_pay,lv05,lv06,lv07,lv08
"62-34-36-23","Cows/Heifers",8,5,1,0,0,0,2,0,2500
"62-34-36-23","Goats - He/She/Kids",12,5,5,0,0,0,2,0,1500
"14-81-15-88","Chicken - Hens/Layers",1,4,0,0,0,0,0,0,
"96-74-08-90","Cows/Heifers",1,1,0,0,0,0,0,0,
"96-74-08-90","Goats - He/She/Kids",15,10,4,0,0,0,3,4,4
"96-74-08-90","Chicken - Hens/Layers",36,20,2,4,0,0,10,0,160
"96-06-73-25","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"96-06-73-25","Cows/Heifers",5,7,0,0,0,0,0,0,
"96-06-73-25","Calves - Males/Females",3,4,0,0,0,0,0,0,
"96-06-73-25","Chicken - Cocks/Broilers",2,3,1,2,0,0,0,0,100
"96-06-73-25","Chicken - Hens/Layers",8,12,0,3,0,0,0,0,
"74-26-40-66","Bulls/Oxen/Steers",6,4,2,0,0,0,0,0,3000
"14-99-63-02","Chicken - Cocks/Broilers",4,1,4,6,0,0,20,10,45
"14-99-63-02","Chicken - Hens/Layers",10,5,0,0,0,0,4,15,
"19-21-27-06","Cows/Heifers",5,5,0,0,0,0,0,0,
"19-21-27-06","Calves - Males/Females",2,2,0,0,0,0,0,0,
"19-21-27-06","Chicken - Cocks/Broilers",5,2,2,1,0,0,2,0,70
"19-21-27-06","Chicken - Hens/Layers",5,7,0,4,0,0,1,1,
"39-03-54-61","Goats - He/She/Kids",9,4,3,2,0,0,0,0,400
"39-03-54-61","Chicken - Hens/Layers",0,1,0,0,0,0,0,0,
"86-35-86-55","Bulls/Oxen/Steers",8,8,0,0,0,0,0,0,
"88-11-61-94","Cows/Heifers",4,4,0,0,0,0,0,0,
"88-11-61-94","Goats - He/She/Kids",7,7,0,0,0,0,0,0,
"93-61-35-58","Chicken - Cocks/Broilers",10,5,3,2,0,0,0,0,40
"87-48-20-01","Goats - He/She/Kids",1,2,0,3,0,0,0,0,
"87-48-20-01","Chicken - Hens/Layers",5,2,0,3,0,0,0,0,
"87-48-20-01","Dove /Pigeon",0,7,0,0,0,0,0,0,
"66-77-51-72","Goats - He/She/Kids",13,10,0,0,0,0,3,0,
"66-77-51-72","Chicken - Hens/Layers",38,30,3,3,0,2,0,0,100
"31-16-66-31","Bulls/Oxen/Steers",1,1,2,0,0,2,3,0,7000
"59-90-45-51","Chicken - Hens/Layers",2,2,0,0,0,0,0,0,
"68-61-83-10","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"68-61-83-10","Cows/Heifers",2,2,0,0,0,0,0,0,
"68-61-83-10","Goats - He/She/Kids",2,2,0,0,0,0,0,0,
"68-61-83-10","Chicken - Cocks/Broilers",2,2,0,1,0,0,0,0,
"68-61-83-10","Chicken - Hens/Layers",14,8,10,0,0,0,0,0,40
"68-61-83-10","Guinea Fowls",14,13,0,1,0,0,0,0,
"96-11-54-44","Cows/Heifers",1,1,0,0,0,0,0,0,
"96-11-54-44","Chicken - Hens/Layers",0,9,0,0,0,0,0,0,
"70-22-33-16","Bulls/Oxen/Steers",5,5,0,0,0,0,0,0,
"70-22-33-16","Cows/Heifers",4,2,0,0,0,0,0,2,
"12-54-99-38","Bulls/Oxen/Steers",6,6,0,0,0,0,0,0,
"12-54-99-38","Cows/Heifers",4,5,0,0,0,0,0,0,
"12-54-99-38","Chicken - Cocks/Broilers",1,2,0,0,0,0,0,0,
"12-54-99-38","Chicken - Hens/Layers",5,9,0,0,0,0,0,0,
"11-92-45-50","Chicken - Cocks/Broilers",5,4,5,0,0,0,0,0,40
"11-92-45-50","Chicken - Hens/Layers",5,14,5,0,0,0,0,0,30
"73-14-88-64","Cows/Heifers",5,5,0,0,0,0,0,0,
"63-18-15-01","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"63-18-15-01","Cows/Heifers",3,3,0,0,0,0,0,0,
"63-18-15-01","Goats - He/She/Kids",5,5,0,0,0,0,0,0,
"63-18-15-01","Pigs - Boar/Sows/Piglets",5,5,0,0,0,0,0,0,
"63-18-15-01","Chicken - Hens/Layers",23,20,3,0,0,0,0,0,50
"63-18-15-01","Ducks",11,6,1,0,0,0,0,0,70
"26-37-34-30","Bulls/Oxen/Steers",30,30,0,0,0,0,0,0,
"57-72-53-25","Bulls/Oxen/Steers",3,2,1,0,0,0,0,0,10800
"57-72-53-25","Cows/Heifers",16,16,0,0,0,0,2,0,
"57-72-53-25","Calves - Males/Females",8,6,0,0,0,0,2,1,
"57-72-53-25","Goats - He/She/Kids",6,5,0,0,0,0,1,0,
"57-72-53-25","Chicken - Cocks/Broilers",3,2,0,1,0,0,0,0,
"57-72-53-25","Chicken - Hens/Layers",21,12,0,0,0,0,6,5,
"57-72-53-25","Ducks",9,7,0,2,0,0,0,0,
"57-72-53-25","Guinea Fowls",4,13,0,0,0,0,0,0,
"15-31-68-47","Bulls/Oxen/Steers",4,4,0,0,0,0,0,0,
"15-31-68-47","Cows/Heifers",5,5,0,0,0,0,0,0,
"54-23-26-42","Goats - He/She/Kids",17,15,0,0,0,0,8,0,
"54-23-26-42","Chicken - Cocks/Broilers",25,6,19,0,0,0,0,0,70
"91-72-91-72","Bulls/Oxen/Steers",2,2,1,0,0,0,0,0,600
"91-72-91-72","Cows/Heifers",1,1,0,0,0,0,0,0,
"91-72-91-72","Calves - Males/Females",1,1,0,0,0,0,0,0,
"91-72-91-72","Goats - He/She/Kids",9,6,3,0,0,0,0,0,400
"91-72-91-72","Chicken - Cocks/Broilers",6,2,4,0,0,0,0,0,70
"91-72-91-72","Chicken - Hens/Layers",9,4,0,0,0,0,5,0,
"07-58-36-50","Bulls/Oxen/Steers",0,2,0,0,0,0,0,0,
"31-14-07-01","Bulls/Oxen/Steers",3,2,1,0,0,0,0,0,6000
"31-14-07-01","Cows/Heifers",2,2,0,0,0,0,0,0,
"31-14-07-01","Goats - He/She/Kids",6,3,14,2,0,0,0,0,450
"31-14-07-01","Chicken - Cocks/Broilers",10,2,0,5,0,0,0,0,
"31-14-07-01","Chicken - Hens/Layers",12,2,3,8,0,0,0,0,15
"96-79-76-17","Cows/Heifers",3,3,0,0,0,0,0,0,
"96-79-76-17","Chicken - Hens/Layers",18,20,0,0,0,0,0,2,
"99-47-47-96","Bulls/Oxen/Steers",27,24,3,0,0,0,0,0,3000
"99-47-47-96","Chicken - Cocks/Broilers",30,9,5,16,0,0,0,0,75
"93-76-93-98","Chicken - Hens/Layers",12,6,2,4,0,0,0,0,80
"02-49-04-36","Bulls/Oxen/Steers",10,12,2,0,0,0,2,0,5000
"02-49-04-36","Calves - Males/Females",3,5,0,0,0,0,0,0,
"02-49-04-36","Goats - He/She/Kids",3,4,0,0,0,0,0,0,
"02-49-04-36","Chicken - Cocks/Broilers",20,2,0,0,0,0,0,0,
"97-96-55-67","Chicken - Hens/Layers",6,4,0,0,0,0,4,0,
"74-92-93-10","Bulls/Oxen/Steers",5,4,1,0,0,0,0,0,1200
"74-92-93-10","Cows/Heifers",8,8,0,0,0,0,0,0,
"74-92-93-10","Calves - Males/Females",0,4,0,0,0,0,0,0,
"74-92-93-10","Goats - He/She/Kids",8,10,0,0,0,0,0,0,
"74-92-93-10","Chicken - Cocks/Broilers",6,1,0,0,0,0,5,0,
"74-92-93-10","Chicken - Hens/Layers",9,3,0,0,0,0,6,0,
"74-92-93-10","Ducks",12,8,0,0,0,0,4,0,
"74-92-93-10","Guinea Fowls",22,15,0,0,0,0,7,0,
"62-57-54-10","Bulls/Oxen/Steers",6,6,0,0,0,0,0,0,
"62-57-54-10","Cows/Heifers",5,2,0,0,0,0,3,0,
"62-57-54-10","Goats - He/She/Kids",6,4,0,0,0,0,2,0,
"62-57-54-10","Chicken - Cocks/Broilers",4,2,0,0,0,0,4,0,
"62-57-54-10","Chicken - Hens/Layers",8,1,0,0,0,0,7,0,
"81-64-58-33","Bulls/Oxen/Steers",7,9,0,0,0,0,0,0,
"81-64-58-33","Cows/Heifers",9,11,0,0,0,0,0,0,
"81-64-58-33","Chicken - Cocks/Broilers",2,5,1,0,0,0,0,0,50
"81-64-58-33","Chicken - Hens/Layers",25,30,0,0,0,0,0,0,
"63-16-06-54","Cows/Heifers",2,2,0,0,0,0,0,0,
"63-16-06-54","Chicken - Cocks/Broilers",1,4,0,0,0,0,0,0,
"63-16-06-54","Chicken - Hens/Layers",7,6,0,0,0,0,0,0,
"32-07-75-14","Bulls/Oxen/Steers",7,7,1,0,0,0,0,0,8300
"32-07-75-14","Cows/Heifers",8,8,0,0,0,0,0,0,
"32-07-75-14","Calves - Males/Females",5,4,0,0,0,0,1,0,
"32-07-75-14","Chicken - Cocks/Broilers",5,3,0,3,0,0,0,0,
"32-07-75-14","Chicken - Hens/Layers",3,4,0,0,0,0,0,0,
"23-46-49-04","Chicken - Cocks/Broilers",15,1,5,0,0,0,10,0,80
"23-46-49-04","Chicken - Hens/Layers",9,7,0,0,0,0,7,0,
"74-82-45-40","Chicken - Cocks/Broilers",7,3,0,0,0,0,7,0,
"74-82-45-40","Chicken - Hens/Layers",10,6,0,0,0,0,10,0,
"22-02-08-34","Chicken - Hens/Layers",10,3,0,0,0,0,7,0,
"35-24-65-37","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"35-24-65-37","Cows/Heifers",5,7,0,0,0,0,0,0,
"35-24-65-37","Chicken - Hens/Layers",15,5,7,3,0,0,0,0,40
"94-94-59-77","Cows/Heifers",9,9,0,0,0,0,0,0,
"53-63-07-20","Calves - Males/Females",7,10,3,0,0,0,0,0,2900
"53-63-07-20","Goats - He/She/Kids",10,7,2,0,0,0,1,0,300
"53-63-07-20","Chicken - Hens/Layers",5,6,0,0,0,0,0,0,
"67-75-50-83","Chicken - Hens/Layers",5,3,0,0,0,0,0,2,
"02-25-92-18","Chicken - Cocks/Broilers",15,3,0,0,0,0,12,0,
"02-25-92-18","Chicken - Hens/Layers",10,3,0,0,0,0,7,0,
"49-92-48-01","Bulls/Oxen/Steers",4,4,0,0,0,0,0,0,
"49-92-48-01","Cows/Heifers",3,3,0,0,0,0,0,0,
