interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"62-34-36-23",15,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-21-12-64",30,30,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"56-96-68-33",,,,"",,"",,,,,,,,,,,,
"77-02-55-05",12,12,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"14-81-15-88",15,15,"Market in this village","","No","","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"96-74-08-90",3,0,"Market in this village","","No","","Yes","No","Yes","No","No","No","No","Yes","No","No","No",
"96-06-73-25",13,13,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"74-47-72-19",15,15,"Market in this village","","No","","No",,,,,,,,,,,
"74-26-40-66",20,20,"Market in this village","","No","","No",,,,,,,,,,,
"14-99-63-02",15,15,"Market in this village","","No","","No",,,,,,,,,,,
"19-21-27-06",15,15,"Others ➡️ Specify","non","No","","No",,,,,,,,,,,
"37-56-42-12",0,19,"Market in this village","","No","","No",,,,,,,,,,,
"16-65-20-98",15,15,"Market in this village","","No","","No",,,,,,,,,,,
"09-74-03-14",15,15,"Others ➡️ Specify","the respondant does not produce for salling","No","","No",,,,,,,,,,,
"39-03-54-61",19,.3,"Others ➡️ Specify","don't have anything to sell","No","","No",,,,,,,,,,,
"86-35-86-55",,,,"",,"",,,,,,,,,,,,
"88-11-61-94",14,14,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"93-61-35-58",17,.5,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"87-48-20-01",7,1,"Market in this village","","No","","No",,,,,,,,,,,
"66-77-51-72",17,17,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"31-16-66-31",25,25,"Market in this village","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"88-03-82-39",17,17,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"59-90-45-51",7,7,"Urban market (town) in this region","","No","","Yes","No","No","Yes","No","Yes","No","No","No","No","No",
"68-61-83-10",20,20,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"96-11-54-44",20,20,"Market in this village","","No","","No",,,,,,,,,,,
"70-22-33-16",,,,"",,"",,,,,,,,,,,,
"12-54-99-38",15,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"39-44-22-57",15,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"11-92-45-50",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"73-14-88-64",17,17,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"59-60-22-11",17,17,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"63-18-15-01",4,4,"Market in this village","","No","","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No",
"40-24-89-40",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"26-37-34-30",120,5,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"57-72-53-25",20,20,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"15-31-68-47",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-23-26-42",1,17,"Market in this village","","No","","No",,,,,,,,,,,
"06-33-74-17",,,,"",,"",,,,,,,,,,,,
"09-17-76-18",15,15,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"91-72-91-72",30,30,"Market in this village","","No","","No",,,,,,,,,,,
"07-58-36-50",15,15,"Market in this village","","No","","No",,,,,,,,,,,
"27-63-39-98",10,10,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"31-14-07-01",37,37,"Urban market (town) in this region","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"96-79-76-17",40,40,"Others ➡️ Specify","just within the village","No","","No",,,,,,,,,,,
"23-90-90-29",35,35,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"99-47-47-96",15,15,"Rural market in the neighbouring village","","No","","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No",
"48-69-67-88",,,,"",,"",,,,,,,,,,,,
"93-76-93-98",,,,"",,"",,,,,,,,,,,,
"02-49-04-36",15,15,"Market in this village","","No","","No",,,,,,,,,,,
"97-96-55-67",20,20,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"55-00-90-34",13,13,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"74-92-93-10",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"62-57-54-10",53,53,"Market in this village","","No","","No",,,,,,,,,,,
"81-64-58-33",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"51-16-15-92",30,10,"Market in this village","","No","","No",,,,,,,,,,,
"63-16-06-54",14,14,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"32-07-75-14",42,42,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"23-46-49-04",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"81-47-15-41",,,,"",,"",,,,,,,,,,,,
"74-82-45-40",22,22,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"71-03-17-29",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"22-02-08-34",70,70,"Market in this village","","No","","No",,,,,,,,,,,
"35-24-65-37",7,7,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"94-94-59-77",62,62,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"62-18-60-04",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"13-57-44-05",34,34,"Urban market (town) in this region","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"53-63-07-20",75,25,"Market in this village","","No","","No",,,,,,,,,,,
"67-75-50-83",7,7,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"02-25-92-18",15,15,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"49-92-48-01",42,42,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"86-85-54-02",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"25-71-60-55",70,70,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"52-17-01-39",60,60,"Market in this village","","No","","No",,,,,,,,,,,
"85-68-71-94",60,60,"Market in this village","","No","","No",,,,,,,,,,,
"88-33-53-02",38,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"73-16-52-51",70,70,"Others ➡️ Specify","He doesn't sell any product","No","","No",,,,,,,,,,,
"29-32-71-31",65,65,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"08-80-55-70",38,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"58-68-82-05",73,2,"Market in this village","","No","","No",,,,,,,,,,,
"40-89-66-86",73,73,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"88-30-77-96",63,63,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"72-26-90-86",79,15,"Market in this village","","No","","No",,,,,,,,,,,
"49-59-81-92",72,72,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"21-01-20-88",70,70,"Others ➡️ Specify","she sells none, it is only for household consumption","No","","No",,,,,,,,,,,
"79-70-14-90",73,73,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"80-75-47-72",73,73,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"56-08-93-09",50,50,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"17-42-48-26",38,38,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"48-20-15-07",70,70,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"14-03-97-85",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
