interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"62-34-36-23",1,"No",,"No","No intention to migrate",,"",,,,,,
"62-34-36-23",2,"No",,"No","No intention to migrate",,"",,,,,,
"62-34-36-23",3,"No",,"No","No intention to migrate",,"",,,,,,
"54-21-12-64",1,"No",,"No","No intention to migrate",,"",,,,,,
"54-21-12-64",2,"No",,"No","No intention to migrate",,"",,,,,,
"54-21-12-64",3,"No",,"No","No intention to migrate",,"",,,,,,
"56-96-68-33",1,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"56-96-68-33",2,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"56-96-68-33",3,"No",,"No","No intention to migrate",,"",,,,,,
"56-96-68-33",4,"Yes","No","No",,,"",2017,2017,,,,
"56-96-68-33",5,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"56-96-68-33",6,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"77-02-55-05",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"77-02-55-05",2,"No",,"Yes","No intention to migrate",,"",2007,2023,,,,
"77-02-55-05",3,"No",,"No","Yes temporarily migrate","Outside the country","",,,,,,
"14-81-15-88",1,"Yes","No","No",,,"",2023,2023,,,,
"14-81-15-88",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-74-08-90",1,"No",,"No","No intention to migrate",,"",,,,,,
"96-74-08-90",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-74-08-90",3,"No",,"No","No intention to migrate",,"",,,,,,
"96-74-08-90",4,"No",,"No","No intention to migrate",,"",,,,,,
"96-06-73-25",1,"No",,"No","No intention to migrate",,"",,,,,,
"96-06-73-25",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-06-73-25",3,"No",,"No","No intention to migrate",,"",,,,,,
"96-06-73-25",8,"No",,"No","No intention to migrate",,"",,,,,,
"74-47-72-19",1,"No",,"No","No intention to migrate",,"",,,,,,
"74-47-72-19",2,"No",,"No","No intention to migrate",,"",,,,,,
"74-47-72-19",3,"No",,"No","No intention to migrate",,"",,,,,,
"74-47-72-19",4,"No",,"No","No intention to migrate",,"",,,,,,
"74-47-72-19",7,"No",,"No","Don’t know",,"",,,,,,
"74-26-40-66",1,"No",,"No","No intention to migrate",,"",,,,,,
"74-26-40-66",2,"No",,"No","No intention to migrate",,"",,,,,,
"74-26-40-66",3,"No",,"No","No intention to migrate",,"",,,,,,
"14-99-63-02",1,"No",,"No","No intention to migrate",,"",,,,,,
"14-99-63-02",2,"No",,"No","No intention to migrate",,"",,,,,,
