interview__key,r_members__id,lbr3_1,lbr3_1_oth,emp_form,bus_yr,bus_dry,bus_rain,bus_days_wk,bus_hrs,bus_sales,bus_main_use__1,bus_main_use__2,bus_main_use__3,bus_main_use__4,bus_main_use__5,bus_main_use__6,bus_main_use__7,bus_main_use__96,bus_main_use__n888,bus_main_use_others,bus_input,bus_labor,bus_capital,bus_reg,bus_loc,bus_employe,tourism_motivate__1,tourism_motivate__2,tourism_motivate__3,tourism_motivate__4,tourism_motivate__5,tourism_motivate__6,tourism_motivate__7,tourism_motivate__8,tourism_motivate__96,tourism_motivate_oth,years_exp_agri,business_obstacle__1,business_obstacle__2,business_obstacle__3,business_obstacle__4,business_obstacle__5,business_obstacle__6,business_obstacle__7,business_obstacle__8,business_obstacle__9,business_obstacle__10,business_obstacle__11,business_obstacle__96,business_obstacle__n888,business_obstacle__n999,business_obs_oth,business_financing__1,business_financing__2,business_financing__3,business_financing__4,business_financing__5,business_financing__6,business_financing__7,business_financing__8,business_financing__9,business_financing__10,business_financing__11,business_financing__12,business_financing__96,business_financing__n888,business_financing__n999,business_financing_oth,business_finance__1,business_finance__2,business_finance__3,business_finance__4,business_finance__5,business_finance__6,business_finance__7,business_finance__8,business_finance__96,business_finance__n888,business_finance__n999,business_finance_oth,business_legal__1,business_legal__2,business_legal__3,business_legal__4,business_legal__5,business_legal__96,business_legal__n888,business_legal__n999,business_legal_oth,support_local_gov,support_local_kind__1,support_local_kind__2,support_local_kind__3,support_local_kind__4,support_local_kind__5,support_local_kind__6,support_local_kind__7,support_local_kind__8,support_local_kind__96,support_local_kind__n888,support_local_kind__n999,support_local_gov_oth,lbr3_2,lbr3_3,lbr3_4,lbr3_5,lbr3_5_1__1,lbr3_5_1__2,lbr3_5_1__3,lbr3_5_1__4,lbr3_5_1__5,lbr3_5_1__6,lbr3_5_1__7,lbr3_5_1__96,lbr3_5_1__n888,lbr3_5_1__n999,lbr3_5_1_oth,lbr3_6,lbr3_7,lbr3_8,lbr3_9,lbr3_9_1__1,lbr3_9_1__2,lbr3_9_1__3,lbr3_9_1__4,lbr3_9_1__5,lbr3_9_1__6,lbr3_9_1__7,lbr3_9_1__96,lbr3_9_1__n888,lbr3_9_1__n999,lbr3_9_1_oth,lbr3_10,lbr3_11,lbr3_12,lbr3_13,Ibr3_14__1,Ibr3_14__2,Ibr3_14__3,Ibr3_15,Ibr3_16,Ibr3_17,Ibr3_18,Ibr3_19,leave,sick_leave,lbr10,lbr10_1,job_search,job_search_oth,lbr09,emp_years,lbr11
"96-74-08-90",1,"Hospitality (e.g., Accommodation &amp; Lodging )","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Sakazima Lodge","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",50,0,1,0,0,0,0,0,0,0,0,"",6,4,2,24,"Yes","Yes",,"No","No","No","No","No","No","No","No contract (informal)","","From family and relatives","","No",15,"Satisfied"
"19-21-27-06",1,"Domestic/household helper","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Mike and Rosemary farm","In this village","Permanent",1000,0,1,0,0,2,0,0,3,0,0,"Business",7,7,,,,,,,,,,,,,"",,,,,"No","No","No","No","Yes","No","No","No","Yes","No","Fixed term permanent contract","","From family and relatives","","Yes",.5,"Satisfied"
"19-21-27-06",2,"Retail trade","","Self-employed/own business",60,6,6,7,18,1800,1,0,0,3,0,0,0,2,0,"buying of livestock",800,0,0,"No","Village in region",0,"No","No","No","No","Yes","No","No","No","No",,"8","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","people that get products on credit",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","No","Yes","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",12,"Very satisfied"
"16-65-20-98",2,"Small-scale farm","","Self-employed/own business",36,6,0,6,9,1400,0,1,2,3,0,0,0,0,0,"",810,0,0,"No","Village in region",0,"No","Yes","No","No","Yes","No","No","No","No",,"1","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",1,"Satisfied"
"39-03-54-61",1,"Others, specify","Timber","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Jack","Town or city in another district/region","Seasonal",,,,,,,,,,,,"",,,"Per month",1500,0,1,2,3,0,0,0,0,0,0,"",2,6,7,13,"No","No","No","Yes","No","No","No","No","No","Yes","Long term permanent contract","","From neighbors or friends","","No",5,"Satisfied"
"86-35-86-55",1,"Education (teacher etc)","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","silolo primary school","In this village","Permanent",7500,0,0,1,0,0,0,0,0,0,0,"",5,6,,,,,,,,,,,,,"",,,,,"Yes",,,"No","No","Yes","Yes","No","Yes","Yes","Long term permanent contract","","Private employment/recruitment agency","","Yes",21,"Neither"
"93-61-35-58",1,"Others, specify","Selling Charcoal","Self-employed/own business",5,0,5,6,5,1000,0,1,2,3,0,0,0,0,0,"",300,250,600,"No","Village in region",1,"No","No","No","Yes","No","No","No","No","No",,"20","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","because its not registered.when caught by forest office all his charcoal can be consficated",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",5,"Neither"
"66-77-51-72",2,"Others, specify","Timber Production","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Mr Jackie","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",1000,0,1,0,0,0,0,0,0,0,0,"",0,2,7,8,"No","Yes","No","Yes","No","No","No","Yes","No","No","No contract (informal)","","From neighbors or friends","","No",3,"Satisfied"
"59-90-45-51",3,"Retail trade","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Domestic work","Outside the country","Seasonal",,,,,,,,,,,,"",,,"Per month",800,0,1,0,0,0,2,0,3,0,0,"clothing, agricultural inputs",0,2,6,7,"No","Yes","No","No","No","No","No","No","No","No","Daily wage labourer","","From family and relatives","","No",.2,"Satisfied"
"11-92-45-50",1,"Food industry","","Self-employed/own business",15,4,2,2,2,0,,,,,,,,,,"",0,0,0,"No","Village in region",1,"No","No","No","Yes","No","No","No","No","No",,"15","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","increase in transportation fees",,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",15,"Satisfied"
