interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"62-34-36-23",1,"Yes",6,6,6,7,6,6,6,7,20,6,6,7,5,8,0,3,1,2,0,0,0,0,""
"54-21-12-64",1,"Yes",0,0,,,6,2,6,7,40,0,0,,,0,0,1,0,0,0,0,0,0,""
"54-21-12-64",2,"Yes",0,0,,,6,2,6,7,40,0,0,,,0,0,1,2,0,0,0,0,0,""
"77-02-55-05",1,"Yes",3,2,3,4,3,2,3,4,20,0,0,,,6,0,3,1,2,0,0,0,0,""
"77-02-55-05",2,"Yes",5,4,7,5,5,4,7,5,52,5,1,7,6,10,0,0,1,2,0,0,0,0,""
"77-02-55-05",3,"Yes",6,1,4,5,6,1,4,5,4,6,6,7,1,4,0,0,1,0,0,0,0,0,""
"14-81-15-88",1,"Yes",6,0,0,,5,0,6,7,53,0,0,,,0,0,1,0,0,0,0,0,2,"buy clothes and those who help with building her hats"
"96-74-08-90",1,"Yes",6,6,6,8,6,6,6,8,20,6,6,7,7,4,0,1,2,0,0,0,0,0,""
"96-06-73-25",1,"Yes",5,3,6,6,5,2,6,6,14,0,0,,,13,3,1,2,0,0,0,0,0,""
"96-06-73-25",2,"Yes",5,3,6,6,6,2,6,6,8,6,6,7,4,6,3,1,2,0,0,0,0,0,""
"74-47-72-19",1,"Yes",0,0,,,5,4,6,3,10,0,0,,,0,0,1,2,3,0,0,0,0,""
"74-26-40-66",1,"Yes",0,0,,,0,2,6,8,34,5,6,1,6,34,0,1,0,0,0,0,0,0,""
