interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"62-34-36-23","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"54-21-12-64","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"56-96-68-33","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"77-02-55-05","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"14-81-15-88","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-74-08-90","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"96-06-73-25","No","Yes","No","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"74-47-72-19","No","Yes","No","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"74-26-40-66","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"14-99-63-02","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"19-21-27-06","No","No","No","No","Yes",800,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"37-56-42-12","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-65-20-98","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No"
"09-74-03-14","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"39-03-54-61","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"86-35-86-55","Yes","No","Yes","Yes","Yes",750,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"88-11-61-94","No","Yes","No","Yes","Yes",300,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"93-61-35-58","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"87-48-20-01","Yes","Yes","No","Yes","Yes",200,"Yes","No","No","No","No","No","Yes","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"66-77-51-72","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"31-16-66-31","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"88-03-82-39","No","Yes","No","Yes","Yes",70,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"59-90-45-51","No","No","No","No","Yes",300,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"68-61-83-10","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"96-11-54-44","No","No","No","No","Yes",220,"No","No","No","No","No","No","Yes","No","No","No",,"Yes","No",,,,,,,,,,,,
"70-22-33-16","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"12-54-99-38","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-44-22-57","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"11-92-45-50","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"73-14-88-64","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"59-60-22-11","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"63-18-15-01","No","No","No","No","Yes",50,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"40-24-89-40","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-37-34-30","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"57-72-53-25","Yes","No","Yes","Yes","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"15-31-68-47","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"54-23-26-42","Yes","Yes","No","Yes","Yes",300,"Yes","Yes","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"06-33-74-17","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-17-76-18","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"91-72-91-72","Yes","Yes","No","Yes","Yes",4000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"07-58-36-50","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"27-63-39-98","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"31-14-07-01","Yes","No","No","Yes","Yes",150,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"96-79-76-17","No","No","Yes","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
