interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"62-34-36-23","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"56-96-68-33","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300,"Every year",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"77-02-55-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Every year",1,.a,,"",,"",,"",0,3,1,2,0,0,0,0,""
"14-81-15-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Every three months",1,.a,"Poverty reduction program","","National government","","Food","",0,1,0,0,0,0,0,0,""
"96-74-08-90","Other➡️specify:",3600,"Every year",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"96-06-73-25","Savings, interest or other investment income",1500,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"74-47-72-19","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2400,"Every three months",1,.a,"Others ➡️ Specify","Social Cash transfer","National government","","Cash","",4,1,2,3,0,0,0,0,""
"19-21-27-06","Savings, interest or other investment income",800,"Monthly",1,2,,"",,"",,"",0,1,0,0,0,0,2,3,"clothing for the Children"
"37-56-42-12","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",800,"Every three months",2,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"16-65-20-98","Income from SALE of real estate (do not include rental income)",1000,"Monthly",2,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"09-74-03-14","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"09-74-03-14","Savings, interest or other investment income",200,"Every 6 months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"39-03-54-61","Other➡️specify:",500,"Monthly",2,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"86-35-86-55","Savings, interest or other investment income",2000,"Monthly",1,2,,"",,"",,"",3,1,2,0,0,0,0,0,""
"88-11-61-94","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",250,"Every year",2,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"Church activities"
"87-48-20-01","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20,"Lump sum (single payment)",7,8,,"",,"",,"",0,0,1,0,0,0,0,0,""
"66-77-51-72","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"88-03-82-39","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"Lump sum (single payment)",1,2,"Older persons cash transfer","","Other➡️specify","Brother","Cash","",0,1,0,0,0,0,0,0,""
"88-03-82-39","Savings, interest or other investment income",700,"Lump sum (single payment)",2,.a,"Emergency relief","","Other➡️specify","Saving group","Cash","",0,1,2,3,0,0,0,0,""
"88-03-82-39","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2400,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"59-90-45-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",800,"Every three months",1,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,2,0,0,3,"agriculture"
"96-11-54-44","Savings, interest or other investment income",220,"Monthly",1,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"11-92-45-50","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Monthly",1,.a,"Others ➡️ Specify","single woman cash transfer","National government","","Cash","",0,1,0,0,0,0,0,0,""
"73-14-88-64","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"59-60-22-11","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"63-18-15-01","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Every three months",2,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,2,"bought goats and pigs"
"40-24-89-40","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"57-72-53-25","Savings, interest or other investment income",1000,"Monthly",2,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"15-31-68-47","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"54-23-26-42","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Monthly",1,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"06-33-74-17","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400,"Every three months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"91-72-91-72","Savings, interest or other investment income",4000,"Monthly",1,.a,,"",,"",,"",0,2,3,1,0,0,0,0,""
"31-14-07-01","Savings, interest or other investment income",1700,"Every year",1,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"48-69-67-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1200,"Every three months",1,.a,"Older persons cash transfer","","Local county government","","Cash","",0,1,0,0,0,0,0,0,""
"93-76-93-98","Savings, interest or other investment income",1000,"Every year",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"55-00-90-34","Savings, interest or other investment income",7000,"Every three months",1,2,,"",,"",,"",1,2,0,0,0,0,0,0,""
"62-57-54-10","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400,"Every three months",1,.a,"Pension","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"81-64-58-33","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"Not yet used"
"63-16-06-54","Savings, interest or other investment income",3000,"Every 6 months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"32-07-75-14","Savings, interest or other investment income",300,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"23-46-49-04","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",200,"Monthly",1,.a,"Others ➡️ Specify","cash transfer for single mothers","National government","","Cash","",0,1,2,0,0,0,0,0,""
"81-47-15-41","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",200,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"74-82-45-40","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",200,"Monthly",1,.a,"Others ➡️ Specify","upkeep","Other➡️specify","son","Cash","",0,1,0,0,0,0,0,0,""
