interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"62-34-36-23",1,"Other➡️ Please specify","Lima","Huahua",10,"2013","Ceded by traditional authorities",20,"Silt",0,1,0,0,0,0,0,"",0,0,1,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Yes",1,1,0,0,0,0,""
"54-21-12-64",1,"Other➡️ Please specify","Lima (1 Lima= 0.25 hectares)","Liyungu",1.75,"1980","Inherited",60,"Loam",1,0,0,1,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"56-96-68-33",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"77-02-55-05",1,"Hectares","","Ndongo",18,"2012","Ceded by traditional authorities",180,"Loam",0,1,1,0,0,0,0,"",0,0,0,0,0,1,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","Yes",0,1,0,0,0,0,""
"14-81-15-88",1,"Other➡️ Please specify","Lima is equal to 0.25ha.","Masimu croppland",10,"2012","Ceded by traditional authorities",120,"Loam",1,0,1,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"","Yes",0,1,0,0,0,0,""
"96-74-08-90",1,"Other➡️ Please specify","Lima","Mapumbwe",15,"2019","Inherited",2,"Silt",0,1,0,0,0,0,0,"",0,0,1,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Yes",1,1,0,0,0,0,""
"96-06-73-25",2,"Hectares","","Maize field",4,"2009","Ceded by traditional authorities",26,"Sand",1,1,0,0,0,1,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"","Yes",1,1,0,0,0,0,""
"74-47-72-19",1,"Hectares","","Malilatau",13,"2022","Ceded by traditional authorities",60,"Loam",1,0,1,1,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","Yes",1,1,0,0,0,0,""
"74-26-40-66",2,"Other➡️ Please specify","lima.1 Lima=0.25","enerst land",10,"1990","Ceded by traditional authorities",60,"Loam",1,1,1,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,1,0,0,0,0,""
"14-99-63-02",2,"Hectares","","Mbonyi",3.05,"2012","Inherited",60,"Silt",0,0,0,0,0,1,0,"",1,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,1,0,0,0,0,""
