interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"62-34-36-23","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"62-34-36-23","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"62-34-36-23","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"62-34-36-23","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"54-21-12-64","Go to the market","No","No","Yes","No","No","No","No","No","No","A few times a year"
"56-96-68-33","Go to the market","No","No","No","Yes","No","No","No","No","No","A few times a year"
"77-02-55-05","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"14-81-15-88","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"96-74-08-90","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"96-74-08-90","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"96-74-08-90","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"96-74-08-90","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"96-06-73-25","Go to the market","Yes","Yes","Yes","No","No","No","No","No","No","Once or twice a month"
"96-06-73-25","Go to school","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"96-06-73-25","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"96-06-73-25","Visit friends/ relatives","Yes","Yes","Yes","No","No","No","No","No","No","Once a week or more often"
"74-47-72-19","Go to the market","No","No","Yes","No","No","No","No","No","No","Less often"
"74-47-72-19","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"74-47-72-19","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Less often"
"74-47-72-19","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Less often"
"74-26-40-66","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"74-26-40-66","Go to school","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"74-26-40-66","Access medical treatment","Yes","No","Yes","No","No","No","No","No","No","Less often"
"14-99-63-02","Go to the market","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"14-99-63-02","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"14-99-63-02","Access medical treatment","Yes","No","Yes","No","No","No","No","No","No","A few times a year"
"19-21-27-06","Go to the market","No","Yes","Yes","No","No","No","No","No","No","Once or twice a month"
"19-21-27-06","Access medical treatment","Yes","No","Yes","No","No","No","No","No","No","A few times a year"
"37-56-42-12","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"16-65-20-98","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Almost every week"
"16-65-20-98","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"16-65-20-98","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Less often"
"16-65-20-98","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Less often"
"09-74-03-14","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"09-74-03-14","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"39-03-54-61","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"39-03-54-61","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Less often"
"86-35-86-55","Go to the market","No","No","Yes","No","Yes","No","No","No","No","Once a week or more often"
"86-35-86-55","Visit friends/ relatives","No","No","Yes","No","Yes","No","No","No","No","Once a week or more often"
"88-11-61-94","Go to the market","Yes","No","No","Yes","No","No","No","No","No","Once or twice a month"
"88-11-61-94","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"93-61-35-58","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-61-35-58","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-61-35-58","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"87-48-20-01","Go to the market","No","No","Yes","No","No","No","No","No","No","Less often"
"87-48-20-01","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"87-48-20-01","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Less often"
"87-48-20-01","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"66-77-51-72","Go to the market","No","No","No","Yes","No","No","No","No","No","Once or twice a month"
"66-77-51-72","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"66-77-51-72","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"31-16-66-31","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"88-03-82-39","Go to the market","No","No","Yes","No","No","No","No","No","No","Less often"
"88-03-82-39","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"88-03-82-39","Access medical treatment","Yes","No","Yes","No","No","No","No","No","No","Less often"
"59-90-45-51","Go to the market","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"59-90-45-51","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"68-61-83-10","Go to the market","No","Yes","No","No","No","No","No","No","No","Once or twice a month"
"68-61-83-10","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Less often"
"96-11-54-44","Go to the market","Yes","Yes","No","No","No","No","No","No","No","Once a week or more often"
"96-11-54-44","Go to school","Yes","Yes","No","No","No","No","No","No","No","Almost every week"
"96-11-54-44","Access medical treatment","Yes","Yes","No","No","No","No","No","No","No","A few times a year"
"70-22-33-16","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once or twice a month"
"12-54-99-38","Go to the market","Yes","No","Yes","No","No","No","Yes","No","No","Once or twice a month"
"12-54-99-38","Go to school","Yes","No","Yes","No","No","No","No","No","No","Once or twice a month"
"39-44-22-57","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once or twice a month"
"11-92-45-50","Go to the market","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"11-92-45-50","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Less often"
"73-14-88-64","Go to the market","No","Yes","No","No","No","No","No","No","No","Once or twice a month"
"59-60-22-11","Go to the market","No","No","No","No","No","No","No","Yes","No","Once or twice a month"
"63-18-15-01","Go to the market","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"63-18-15-01","Visit friends/ relatives","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"40-24-89-40","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"26-37-34-30","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"57-72-53-25","Go to the market","Yes","Yes","Yes","No","No","No","No","No","No","Almost every week"
"57-72-53-25","Go to school","Yes","Yes","No","No","No","No","No","No","No","Almost every week"
"57-72-53-25","Access medical treatment","Yes","Yes","No","No","No","No","No","No","No","A few times a year"
"15-31-68-47","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"54-23-26-42","Go to the market","Yes","No","No","Yes","No","No","No","No","No","Almost every week"
"54-23-26-42","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"54-23-26-42","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"06-33-74-17","Access medical treatment","No","No","No","No","No","No","Yes","No","No","Varies/don’t know"
"09-17-76-18","Access medical treatment","Yes","No","No","No","No","No","Yes","No","No","Almost every week"
"91-72-91-72","Go to the market","Yes","Yes","No","No","No","No","No","No","No","Once or twice a month"
"91-72-91-72","Access medical treatment","Yes","Yes","No","No","No","No","No","No","No","A few times a year"
"07-58-36-50","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"07-58-36-50","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"07-58-36-50","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"27-63-39-98","Access medical treatment","Yes","No","No","No","No","No","Yes","No","No","Once a week or more often"
"31-14-07-01","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"31-14-07-01","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"96-79-76-17","Go to the market","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
