interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"62-34-36-23","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"54-21-12-64","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"56-96-68-33","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"77-02-55-05","Tarmac road","Very well passable, in both rainy and dry season","No","Yes","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"14-81-15-88","Tarmac road","Very well passable, in both rainy and dry season","No","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"96-74-08-90","Tarmac road","Very well passable, in both rainy and dry season","No","Yes","Yes","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"96-06-73-25","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No",
"74-47-72-19","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"74-26-40-66","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,10,"Yes","No",,"No",,"No","No","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"14-99-63-02","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"19-21-27-06","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"37-56-42-12","Tarmac road","Very well passable, in both rainy and dry season","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"16-65-20-98","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"09-74-03-14","Tarmac road","Well passable","Yes","No","No","No","Yes","No","No","No",,3,"Yes","No",,"No",,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"39-03-54-61","Tarmac road","Very well passable, in both rainy and dry season","No","Yes","Yes","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"86-35-86-55","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","Yes","No","No","No",,2,"Yes","No",,"No",,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"88-11-61-94","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"93-61-35-58","Tarmac road","Very well passable, in both rainy and dry season","No","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"87-48-20-01","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"66-77-51-72","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"31-16-66-31","Tarmac road","Well passable","Yes","No","No","No","No","No","No","No",,5,"Yes","No",,"No",,"No","Yes","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"88-03-82-39","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"59-90-45-51","Tarmac road","Almost not passable","Yes","No","No","No","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"68-61-83-10","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"96-11-54-44","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","Yes","No","No",
"70-22-33-16","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"12-54-99-38","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
