interview__key,r_shocks__id,r_shocks,sh_1,sh_2,sh_3__1,sh_3__2,sh_3__3,sh_3__4,sh_3__5,sh_3__6,sh_3__7,sh_3__8,sh_3__9,sh_3__10,sh_3__11,sh_3__12,sh_3__13,sh_3__14,sh_3__96,sh_3_oth,sh_4,sh_5,sh_6,sh_7
"62-34-36-23",1,"Chronicor Severe Illnessor Accident of a Household Member",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Extremely likely","Extremely likely",0
"62-34-36-23",10,"Livestock Disease/Death",1,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Extremely likely","Very  likely","Very  likely",1
"54-21-12-64",2,"Death of a Household Member",1,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"54-21-12-64",9,"Crop Failure",6,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Not at all likely","Not at all likely",0
"77-02-55-05",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Very severe",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"","Extremely likely","Extremely likely","Very  likely",0
"77-02-55-05",7,"Drought or Extended Period of No Rain",1,"Very severe",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","Extremely likely","Very  likely","Very  likely",0
"77-02-55-05",9,"Crop Failure",1,"Very severe",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"77-02-55-05",15,"Large Rise in Prices of Food",3,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Extremely likely","Very  likely","Very  likely",0
"77-02-55-05",16,"Large Rise in Prices of Agricultural Inputs(E.g.Agrochemicals,Machinery,HiredLabour)",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"14-81-15-88",1,"Chronicor Severe Illnessor Accident of a Household Member",12,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"14-81-15-88",15,"Large Rise in Prices of Food",1,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",1
"96-74-08-90",7,"Drought or Extended Period of No Rain",12,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Very  likely","Very  likely",1
"96-74-08-90",10,"Livestock Disease/Death",3,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Extremely likely","Very  likely","Extremely likely",0
"96-06-73-25",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"96-06-73-25",7,"Drought or Extended Period of No Rain",2,"Severe",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,"","Not very likely","Not at all likely","Not at all likely",0
"96-06-73-25",9,"Crop Failure",2,"Severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not at all likely",0
