interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"62-34-36-23","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Disagree","Agree","trust","strongly trust","trust","trust","trust","Very worried","Extremely worried","Very worried","Extremely worried","Worried","Worried","Worried","Worried","Worried","Worried"
"54-21-12-64","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Worried","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Not at all worried"
"56-96-68-33","Disagree","Strongly agree","Agree","Disagree","Indifferent (neither nor)","Agree","Disagree","Strongly disagree","Strongly agree","Agree","Disagree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","distrust","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"77-02-55-05","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","trust","Extremely worried","Very worried","Very worried","Extremely worried","Worried","Worried","Worried","Worried","Worried","Worried"
"14-81-15-88","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","trust","strongly trust","indifferent","trust","strongly trust","Very worried","Extremely worried","Very worried","Extremely worried","Not at all worried","Worried","Very worried","Not at all worried","Not at all worried","Slightly worried"
"96-74-08-90","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","strongly trust","Extremely worried","Slightly worried","Extremely worried","Extremely worried","Very worried","Worried","Very worried","Slightly worried","Slightly worried","Slightly worried"
"96-06-73-25","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Worried"
"74-47-72-19","Agree","Strongly agree","Indifferent (neither nor)","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","trust","indifferent","trust","Worried","Worried","Worried","Extremely worried","Slightly worried","Very worried","Extremely worried","Not at all worried","Not at all worried","Slightly worried"
"74-26-40-66","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Worried","Slightly worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Not at all worried"
"14-99-63-02","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Slightly worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Very worried","Worried"
