interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"62-34-36-23",3.062378223495702,15.66,.76,11.944,4.54,4.337118644067797,5.024928366762178,3.720458452722063,24.26126074498567,5.904485714285714,1.000571428571429,13.59,1.83,3.344212034383954,3.05,102.0294136092745,"00.03:11:05",191.0833333333333,"2023-06-05","10:31:50"
"54-21-12-64",3.062378223495702,14.72,1.2,6.74,12.52,.13,2.89,2.78,37.69,5.4,.63,32.556,1.371647727272727,5.778,7.78,135.2480259507684,"00.03:05:38",185.6333333333333,"2023-06-05","06:29:13"
"56-96-68-33",3.062378223495702,13.27,1.119318181818182,7.625558739255014,10.25063037249284,.2,4.8,3.720458452722063,32.49,5.06,1.37,27.66,1.11,3.86,2.38,117.9783439697838,"00.02:10:19",130.3166666666667,"2023-06-05","09:34:49"
"77-02-55-05",3.062378223495702,19.38002865329513,1.119318181818182,7.625558739255014,12.77,.63,8.212,3.720458452722063,24.26126074498567,5.904485714285714,1.69,17.45193732193732,2.242,4,4.27,116.3394260317948,"00.04:05:19",245.3166666666667,"2023-06-05","11:17:08"
"14-81-15-88",3.55,14.27,1.119318181818182,11.02,10.25063037249284,3.74,8.199999999999999,5.26,24.26126074498567,5.904485714285714,1.96,17.45193732193732,1.371647727272727,3.344212034383954,6.25,117.9534920971764,"00.03:00:15",180.25,"2023-06-05","10:16:04"
"96-74-08-90",4.43,19.38002865329513,1.119318181818182,11.944,18.618,4.337118644067797,7.86,6.267999999999999,24.26126074498567,5.904485714285714,1.64,13.18,1.371647727272727,3.344212034383954,8.32,131.9780717001092,"00.03:49:08",229.1333333333333,"2023-06-05","06:37:16"
"96-06-73-25",2.17,32.31,2.13,7.625558739255014,10.25063037249284,4.337118644067797,5.024928366762178,3.720458452722063,24.26126074498567,5.904485714285714,1.000571428571429,26.07,1.371647727272727,5.778,3.24,135.1946601904154,"00.04:43:22",283.3666666666667,"2023-06-05","08:12:54"
"74-47-72-19",2.23,18.18,1.119318181818182,7.69,10.48,.19,8.212,3.720458452722063,24.26126074498567,5.904485714285714,1.000571428571429,19.51,1.371647727272727,5.778,6.32,115.9677422496558,"00.02:57:57",177.95,"2023-06-05","10:16:25"
"74-26-40-66",4.02,19.5,1.73,11.48,18.618,10.184,2.726,6.267999999999999,20.55,5.904485714285714,.95,17.45193732193732,1.371647727272727,3.344212034383954,4.359570200573066,128.4578529984528,"00.03:27:59",207.9833333333333,"2023-06-05","07:28:58"
"14-99-63-02",3.27,32.31,1.119318181818182,7.625558739255014,12.72,9.970000000000001,5.024928366762178,3.720458452722063,24.26126074498567,5.904485714285714,1.03,21.62,2.05,5.778,4.359570200573066,140.7635804004019,"00.04:24:58",264.9666666666666,"2023-06-05","10:48:22"
